,date,temp,wind,humidity,rain
0,2023-04-22 08:00,10.3,17.6,69,0.0
1,2023-04-22 09:00,11.6,15.1,63,0.0
2,2023-04-22 10:00,12.5,20.2,59,0.0
3,2023-04-22 11:00,13.8,20.2,56,0.0
4,2023-04-22 12:00,14.6,16.5,53,0.0
5,2023-04-22 13:00,15.3,20.2,52,0.0
6,2023-04-22 14:00,15.5,19.8,51,0.0
7,2023-04-22 15:00,15.5,19.8,52,0.0
8,2023-04-22 16:00,15.1,20.2,53,0.0
9,2023-04-22 17:00,15.0,18.4,61,0.0
10,2023-04-22 18:00,14.1,16.9,68,0.0
11,2023-04-22 19:00,13.5,14.8,76,0.0
12,2023-04-23 08:00,9.1,12.3,74,0.0
13,2023-04-23 09:00,10.6,10.6,70,0.2
14,2023-04-23 10:00,11.9,13.0,68,0.0
15,2023-04-23 11:00,13.6,12.2,65,0.0
16,2023-04-23 12:00,14.8,11.9,63,0.2
17,2023-04-23 13:00,15.9,12.6,62,0.2
18,2023-04-23 14:00,16.0,10.0,62,0.2
19,2023-04-23 15:00,15.4,8.2,66,0.1
20,2023-04-23 16:00,14.6,7.3,72,0.0
21,2023-04-23 17:00,13.9,8.2,76,0.0
22,2023-04-23 18:00,13.3,9.0,85,0.2
23,2023-04-23 19:00,12.5,4.3,91,2.25
24,2023-05-06 08:00,11.3,9.0,74,2.6
25,2023-05-06 09:00,12.1,9.0,73,1.4
26,2023-05-06 10:00,11.9,8.5,77,0.6
27,2023-05-06 11:00,11.1,10.4,84,0.1
28,2023-05-06 12:00,12.7,10.1,86,0.0
29,2023-05-06 13:00,13.1,14.1,91,0.0
30,2023-05-06 14:00,13.4,14.0,93,0.0
31,2023-05-06 15:00,13.7,13.5,93,0.1
32,2023-05-06 16:00,13.6,9.4,92,0.7
33,2023-05-06 17:00,13.3,10.8,92,1.2
34,2023-05-06 18:00,12.6,7.6,92,0.0
35,2023-05-06 19:00,12.1,7.2,93,0.0
36,2023-05-07 08:00,9.9,9.2,80,0.0
37,2023-05-07 09:00,10.9,9.5,75,0.0
38,2023-05-07 10:00,12.2,8.4,68,0.0
39,2023-05-07 11:00,13.0,8.4,62,0.0
40,2023-05-07 12:00,13.6,7.8,58,0.0
41,2023-05-07 13:00,13.7,9.3,56,0.0
42,2023-05-07 14:00,14.0,7.2,55,0.0
43,2023-05-07 15:00,14.1,11.6,56,0.0
44,2023-05-07 16:00,13.4,12.6,65,0.0
45,2023-05-07 17:00,12.1,14.8,77,0.0
46,2023-05-07 18:00,11.5,15.3,82,0.0
47,2023-05-07 19:00,10.1,14.6,88,0.0
48,2023-05-20 08:00,13.2,13.7,74,0.0
49,2023-05-20 09:00,14.6,15.5,72,0.0
50,2023-05-20 10:00,16.1,17.6,70,0.0
51,2023-05-20 11:00,17.7,21.6,67,0.0
52,2023-05-20 12:00,18.5,18.2,67,0.0
53,2023-05-20 13:00,19.0,23.8,70,0.1
54,2023-05-20 14:00,19.0,23.4,74,0.3
55,2023-05-20 15:00,19.0,24.8,75,0.0
56,2023-05-20 16:00,19.3,23.8,78,0.0
57,2023-05-20 17:00,19.0,23.0,81,0.3
58,2023-05-20 18:00,18.2,22.7,85,0.0
59,2023-05-20 19:00,17.2,22.3,88,1.35
60,2023-05-21 08:00,16.7,14.4,77,0.0
61,2023-05-21 09:00,18.4,12.7,71,0.0
62,2023-05-21 10:00,19.9,14.1,66,0.0
63,2023-05-21 11:00,21.4,16.2,61,0.0
64,2023-05-21 12:00,22.3,16.8,57,0.0
65,2023-05-21 13:00,23.1,19.1,53,0.0
66,2023-05-21 14:00,23.7,24.1,50,0.0
67,2023-05-21 15:00,23.6,22.3,50,0.0
68,2023-05-21 16:00,23.5,20.5,55,0.2
69,2023-05-21 17:00,21.9,20.9,65,0.0
70,2023-05-21 18:00,20.5,18.4,71,0.1
71,2023-05-21 19:00,19.6,16.6,75,0.0
72,2023-06-10 08:00,23.9,6.6,97,0.1
73,2023-06-10 09:00,25.3,6.9,96,0.2
74,2023-06-10 10:00,25.8,7.2,95,0.1
75,2023-06-10 11:00,26.4,9.7,94,0.1
76,2023-06-10 12:00,26.4,7.2,94,0.2
77,2023-06-10 13:00,26.9,5.8,90,0.2
78,2023-06-10 14:00,26.8,6.1,84,0.4
79,2023-06-10 15:00,27.1,3.6,81,3.1
80,2023-06-10 16:00,27.0,4.3,82,0.4
81,2023-06-10 17:00,26.7,5.8,86,0.3
82,2023-06-10 18:00,25.5,6.1,89,0.6
83,2023-06-10 19:00,24.9,5.0,90,0.5
84,2023-06-11 08:00,25.3,6.5,89,0.1
85,2023-06-11 09:00,26.5,7.9,86,0.2
86,2023-06-11 10:00,27.6,8.3,81,0.2
87,2023-06-11 11:00,29.0,5.8,75,0.2
88,2023-06-11 12:00,29.9,1.8,71,0.2
89,2023-06-11 13:00,30.5,2.2,68,0.1
90,2023-06-11 14:00,30.9,4.7,66,0.1
91,2023-06-11 15:00,30.9,6.8,68,0.0
92,2023-06-11 16:00,29.6,9.4,77,0.0
93,2023-06-11 17:00,28.4,6.3,84,0.0
94,2023-06-11 18:00,28.1,6.6,86,0.0
95,2023-06-11 19:00,27.0,9.4,89,0.0
96,2023-06-24 08:00,15.4,24.1,86,0.0
97,2023-06-24 09:00,14.9,19.8,88,0.1
98,2023-06-24 10:00,15.0,15.5,88,0.0
99,2023-06-24 11:00,15.7,14.0,84,0.0
100,2023-06-24 12:00,15.1,12.2,82,0.0
101,2023-06-24 13:00,16.6,11.5,82,0.1
