,Division,when,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,place,date,competition
0,13.0,1900-01-01 12:26:30,Real Ballance Flyball Team,WildRunners Zephyr,21.18,L,15.0,Chase,0.33,4.21,Rubble,0.64,4.89,Zuma,0.36,4.3,Marshall,0.3,6.14,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
1,13.0,1900-01-01 12:26:30,WildRunners Zephyr,Real Ballance Flyball Team,20.49,W,25.0,Brix,-0.03,4.58,Them,OK,5.2,Negro,0.51,4.89,Speedy,0.4,4.93,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
2,13.0,1900-01-01 12:27:58,Real Ballance Flyball Team,WildRunners Zephyr,20.81,W,15.0,Chase,0.008,4.24,Rubble,0.18,5.03,Zuma,0.18,4.51,Marshall,0.24,6.42,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
3,13.0,1900-01-01 12:27:58,WildRunners Zephyr,Real Ballance Flyball Team,20.85,L,25.0,Brix,0.15,4.42,Them,0.37,5.19,Negro,0.2,5.27,Speedy,error,5.24,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
4,13.0,1900-01-01 12:29:11,Real Ballance Flyball Team,WildRunners Zephyr,20.66,W,15.0,Chase,0.09,4.24,Rubble,0.33,5.13,Zuma,Ok,4.67,Marshall,0.12,6.09,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
5,13.0,1900-01-01 12:29:11,WildRunners Zephyr,Real Ballance Flyball Team,20.96,L,25.0,Brix,0.24,4.57,Them,0.2,5.48,Negro,ok,5.07,Speedy,0.18,5.22,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
6,13.0,1900-01-01 12:30:34,Real Ballance Flyball Team,WildRunners Zephyr,20.88,L,15.0,Chase,0.22,4.32,Rubble,OK,5.16,Zuma,OK,4.69,Marshall,ok,6.49,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
7,13.0,1900-01-01 12:30:34,WildRunners Zephyr,Real Ballance Flyball Team,20.81,W,25.0,Brix,0.23,4.57,Them,0.21,5.63,Negro,Ok,4.86,Speedy,OK,5.31,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
8,13.0,1900-01-01 12:32:01,Real Ballance Flyball Team,WildRunners Zephyr,21.35,W,15.0,Chase,0.1,4.31,Rubble,0.23,5.11,Zuma,0.26,4.61,Marshall,0.36,6.39,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
9,13.0,1900-01-01 12:32:01,WildRunners Zephyr,Real Ballance Flyball Team,20.71,L,25.0,Brix,0.12,4.52,Them,0.19,5.51,Negro,Ok,5.09,Speedy,error,5.28,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
10,13.0,1900-01-01 12:36:48,Blizzard from OS,BayernXpress I,30.38,W,15.0,Zora,0.09,4.76,Sly,error,5.63,Cookie B,0.32,4.01,Panny,0.32,7.34,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
11,13.0,1900-01-01 12:36:48,BayernXpress I,Blizzard from OS,40.83,L,20.0,Kasi,0.24,4.75,Pepper,0.26,4.9,Filou,0.43,4.98,Berta,ok,5.41,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
12,13.0,1900-01-01 12:37:54,Blizzard from OS,BayernXpress I,23.23,W,15.0,Zora,0.32,4.86,Sly,0.34,4.78,Cookie B,0.36,4.0,Panny,0.21,8.38,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
13,13.0,1900-01-01 12:37:54,BayernXpress I,Blizzard from OS,21.03,L,20.0,Kasi,0.23,4.97,Pepper,0.14,4.95,Filou,0.17,5.13,Berta,OK,5.44,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
14,13.0,1900-01-01 12:40:00,Blizzard from OS,BayernXpress I,22.6,L,15.0,Zora,0.27,5.32,Sly,-0.25,4.88,Cookie B,OK,4.16,Panny,0.3,7.93,Tápiószentmárton Ring1,2023-07-29,FLYBALL_EFC
