,r_min,r_median,r_mean,r_max,kutya_ev_honapok,Border/Other,min,median,mean,max,futasok_szama,valto_hiba,start_hiba,futas_hiba,összes_hiba,hiba_szazalek
Abby,0.0,0.22,0.31,1.25,55,Border,4.32,4.51,4.75,5.75,64.0,8.0,0.0,0.0,8.0,12.5
Agnes,0.13,0.56,0.57,1.45,101,Border,4.55,4.73,5.02,7.19,33.0,4.0,0.0,1.0,5.0,15.15
Alex,0.0,0.15,0.15,0.55,118,Border,4.02,4.27,4.27,4.56,130.0,5.0,0.0,1.0,6.0,4.62
Alfie,0.0,0.13,0.13,0.89,71,Other,3.79,3.98,3.99,4.36,218.0,20.0,0.0,3.0,23.0,10.55
Angie,0.0,0.43,0.48,1.55,120,Border,5.07,5.5,5.72,8.36,34.0,3.0,0.0,3.0,6.0,17.65
Apollo,0.0,0.13,0.1,0.21,99,Border,4.14,4.19,4.23,4.33,5.0,0.0,0.0,0.0,0.0,0.0
Ashley,0.0,0.21,0.23,0.77,109,Border,4.06,4.26,4.28,5.07,63.0,8.0,0.0,1.0,9.0,14.29
Bailey,0.0,0.28,0.4,1.58,82,Border,4.29,4.66,4.79,6.68,111.0,35.0,7.0,6.0,41.0,36.94
Bella,0.0,0.2,0.23,1.57,108,Other,4.17,4.7,4.72,5.66,159.0,19.0,0.0,2.0,21.0,13.21
Bonnie,0.0,0.2,0.23,1.54,23,Other,4.05,4.23,4.23,4.42,104.0,18.0,2.0,1.0,19.0,18.27
Bree,0.0,0.18,0.23,1.65,32,Other,4.05,4.21,4.26,5.53,205.0,27.0,1.0,1.0,28.0,13.66
Brix,0.02,0.14,0.15,0.29,61,Border,4.33,4.58,4.57,4.78,41.0,2.0,2.0,1.0,3.0,7.32
Brooke,0.0,0.13,0.15,0.81,28,Border,3.91,4.21,4.22,5.73,160.0,17.0,13.0,1.0,18.0,11.25
Bruno,0.0,0.24,0.27,0.78,71,Border,4.5,4.78,4.83,5.88,68.0,6.0,0.0,0.0,6.0,8.82
Cookies,0.0,0.11,0.15,0.57,34,Other,3.76,4.04,4.14,7.63,66.0,32.0,20.0,2.0,34.0,51.52
Dexter,0.0,0.16,0.23,1.08,168,Other,4.18,4.57,4.6,5.74,80.0,8.0,3.0,1.0,9.0,11.25
Dixie,0.0,0.11,0.12,0.75,62,Border,4.01,4.29,4.28,4.57,130.0,20.0,4.0,0.0,20.0,15.38
Dusty,0.0,0.46,0.47,1.68,74,Other,5.72,6.23,6.36,8.71,46.0,2.0,0.0,2.0,4.0,8.7
Easy,0.01,0.11,0.11,0.35,51,Other,4.27,4.46,4.47,4.69,42.0,4.0,4.0,3.0,7.0,16.67
Enola,0.0,0.12,0.15,0.76,81,Border,3.8,3.96,3.97,4.31,190.0,16.0,15.0,0.0,16.0,8.42
Falco,0.0,0.16,0.18,1.22,46,Border,3.83,4.15,4.26,7.68,128.0,21.0,14.0,10.0,31.0,24.22
Fleur,0.0,0.18,0.2,0.98,74,Border,4.13,4.4,4.45,6.04,141.0,15.0,9.0,0.0,15.0,10.64
Gerry,0.0,0.22,0.22,0.74,90,Other,4.3,4.51,4.53,4.93,72.0,4.0,1.0,3.0,7.0,9.72
Gordon,0.0,0.39,0.42,1.34,106,Other,6.05,6.92,6.98,8.13,116.0,8.0,2.0,1.0,9.0,7.76
Hank,0.0,0.26,0.33,1.17,22,Other,4.29,4.57,4.59,5.46,166.0,16.0,5.0,1.0,17.0,10.24
Hector,0.0,0.13,0.13,0.56,67,Border,3.96,4.23,4.26,5.3,171.0,22.0,0.0,3.0,25.0,14.62
Henry,0.33,0.54,0.59,1.11,82,Other,4.54,4.76,4.73,4.87,12.0,0.0,0.0,0.0,0.0,0.0
Jasper,0.0,0.26,0.36,1.28,155,Border,4.66,5.85,5.87,7.99,40.0,2.0,0.0,4.0,6.0,15.0
