,nev,fajta,nem,ivar,szuletesi_datum,ulna_hossz,ugrasi_magassag,mai_datum,kutya_ev_honapok
0,Dexter,kooikerhondje,kan,ivartalan,2010-02-14,14.05,25.0,2024-03-06,168
1,Jasper,border collie,kan,ivartalan,2011-03-28,16.56,30.0,2024-03-06,155
2,Angie,border collie,szuka,ivartalan,2014-02-06,15.22,27.5,2024-03-06,120
3,Alex,border collie,kan,ivartalan,2014-04-22,17.95,32.5,2024-03-06,118
4,Ashley,border collie,szuka,ivartalan,2015-01-26,18.3,32.5,2024-03-06,109
5,Bella,american staffordshire terrier,szuka,ivartalan,2015-02-27,14.7,25.0,2024-03-06,108
6,Gordon,jack russell terrier,kan,ivartalan,2015-04-12,9.67,15.0,2024-03-06,106
7,Negro,mix,kan,ivartalan,2015-04-14,15.77,27.5,2024-03-06,106
8,Fibo,magyar vizsla,kan,ivartalan,2015-05-21,17.99,32.5,2024-03-06,105
9,Agnes,border collie,szuka,ivartalan,2015-09-24,18.02,32.5,2024-03-06,101
10,Speedy,mix,kan,ivartalan,2015-11-07,14.91,25.0,2024-03-06,99
11,Apollo,border collie,kan,ivartalan,2015-12-01,17.2,30.0,2024-03-06,99
12,Riley,mix,szuka,ivartalan,2016-02-27,15.26,27.5,2024-03-06,96
13,Jessie,border collie,szuka,ivartalan,2016-04-30,17.99,32.5,2024-03-06,94
14,Ted,border collie,kan,ivartalan,2016-05-02,16.52,30.0,2024-03-06,94
15,Gerry,australian kelpie,kan,ivartalan,2016-09-03,14.04,25.0,2024-03-06,90
16,Henry,parson russell terrier,kan,ivartalan,2017-04-15,12.09,20.0,2024-03-06,82
17,Bailey,border collie,szuka,ivartalan,2017-05-04,18.16,32.5,2024-03-06,82
18,Enola,border collie,szuka,ivartalan,2017-05-31,18.06,32.5,2024-03-06,81
19,Punk,small schnauzer,szuka,ivartalan,2017-07-04,10.02,15.0,2024-03-06,80
20,Sara,border collie,szuka,ivartalan,2017-08-25,15.84,27.5,2024-03-06,78
21,Pax,sheltie,kan,ivartalan,2017-09-08,14.3,25.0,2024-03-06,77
22,Rex,mix,kan,ivaros,2017-11-17,16.01,27.5,2024-03-06,75
23,Dusty,parson russell terrier,szuka,ivartalan,2017-12-21,13.03,22.5,2024-03-06,74
24,Fleur,border collie,kan,ivartalan,2018-01-04,17.81,32.5,2024-03-06,74
25,Bruno,border collie,kan,ivartalan,2018-03-08,17.55,32.5,2024-03-06,71
26,Alfie,australian shepperd,szuka,ivartalan,2018-03-09,16.56,30.0,2024-03-06,71
27,Hector,border collie,kan,ivaros,2018-08-02,18.0,32.5,2024-03-06,67
28,Maggie,border collie,szuka,ivartalan,2018-09-02,16.54,30.0,2024-03-06,66
29,Them,mix,kan,ivartalan,2018-10-18,14.8,25.0,2024-03-06,64
30,Rocky,belgian shepherd - malinois,kan,ivartalan,2018-12-22,18.29,32.5,2024-03-06,62
31,Dixie,border collie,kan,ivartalan,2018-12-22,14.36,25.0,2024-03-06,62
32,Brix,border collie,kan,ivartalan,2019-01-19,17.68,32.5,2024-03-06,61
33,Milo,border collie,kan,ivartalan,2019-06-01,17.3,30.0,2024-03-06,57
34,Tyna,border collie,szuka,ivartalan,2019-06-15,15.36,27.5,2024-03-06,56
35,Abby,border collie,szuka,ivartalan,2019-07-16,15.46,27.5,2024-03-06,55
36,Easy,patterdale terrier,kan,ivartalan,2019-11-13,11.71,20.0,2024-03-06,51
37,Falco,border collie,szuka,ivartalan,2020-04-20,15.28,27.5,2024-03-06,46
38,Sunny,belgian shepherd - malinois,szuka,ivartalan,2020-09-10,18.0,32.5,2024-03-06,41
39,Nina,border collie,szuka,ivartalan,2020-09-20,15.38,27.5,2024-03-06,41
40,Kesha,border collie,kan,ivaros,2020-11-16,13.6,22.5,2024-03-06,39
41,Mason,mix,kan,ivartalan,2020-11-29,15.23,27.5,2024-03-06,39
42,Moon,border collie,szuka,ivaros,2021-01-04,17.35,30.0,2024-03-06,38
43,Sirius,border collie,kan,ivartalan,2021-01-04,17.74,32.5,2024-03-06,38
44,Scotty,mudi,kan,ivaros,2021-01-31,16.84,30.0,2024-03-06,37
45,Cookies,australian kelpie,kan,ivaros,2021-04-09,15.12,27.5,2024-03-06,34
46,Bree,belgian shepherd - malinois,szuka,ivartalan,2021-06-11,16.73,30.0,2024-03-06,32
47,Kent,mix,kan,ivaros,2021-07-10,15.28,27.5,2024-03-06,31
48,Brooke,border collie,kan,ivaros,2021-10-20,17.08,30.0,2024-03-06,28
49,Bonnie,whippet,szuka,ivaros,2022-03-08,15.71,27.5,2024-03-06,23
50,Hank,mix,kan,ivaros,2022-05-02,16.28,27.5,2024-03-06,22
